model_id,benchmark,id,seed,baseline,method,baseline_correct,method_correct,delta_correct
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-91198,1,vanilla_mc,temperature_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-91198,1,vanilla_mc,semantic_entropy_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-91198,1,vanilla_mc,self_consistency_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-91198,1,vanilla_mc,iga_v2_lowrank_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-91198,1,vanilla_mc,iga_v3_entropy_sparse_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-194462,1,vanilla_mc,temperature_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-194462,1,vanilla_mc,semantic_entropy_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-194462,1,vanilla_mc,self_consistency_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-194462,1,vanilla_mc,iga_v2_lowrank_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-194462,1,vanilla_mc,iga_v3_entropy_sparse_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-137334,1,vanilla_mc,temperature_mc,0.0,0.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-137334,1,vanilla_mc,semantic_entropy_mc,0.0,0.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-137334,1,vanilla_mc,self_consistency_mc,0.0,0.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-137334,1,vanilla_mc,iga_v2_lowrank_mc,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-137334,1,vanilla_mc,iga_v3_entropy_sparse_mc,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-166626,1,vanilla_mc,temperature_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-166626,1,vanilla_mc,semantic_entropy_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-166626,1,vanilla_mc,self_consistency_mc,1.0,1.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-166626,1,vanilla_mc,iga_v2_lowrank_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-166626,1,vanilla_mc,iga_v3_entropy_sparse_mc,1.0,0.0,-1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-111897,1,vanilla_mc,temperature_mc,0.0,0.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-111897,1,vanilla_mc,semantic_entropy_mc,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-111897,1,vanilla_mc,self_consistency_mc,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-111897,1,vanilla_mc,iga_v2_lowrank_mc,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-111897,1,vanilla_mc,iga_v3_entropy_sparse_mc,0.0,0.0,0.0
mistralai/Mistral-7B-Instruct-v0.3,FEVER,fever-v1.0-labelled_dev-89891,1,vanilla_mc,temperature_mc,0.0,0.0,0.0
